Date,ITB,IYZ,XLY,XLP,IYT,PHO,DBA,DBB,VNQ,LQD
29/12/2015,26.896105,26.068155,74.541885,45.115028,129.138412,21.41925,19.959558,11.470436,66.375885,97.386002
30/12/2015,26.710548,25.723757,73.94249,44.956535,127.759262,21.340931,20.047228,11.605837,66.145584,97.386002
31/12/2015,26.466391,25.423517,73.202599,44.454674,127.268044,21.213671,20.076452,11.489779,65.569923,97.548576
04/01/2016,25.675331,24.849518,71.947609,43.891174,124.651474,20.978727,19.88163,11.209305,64.780418,97.497246
05/01/2016,25.743694,25.061455,71.853943,44.172932,124.80262,20.665464,19.754997,11.228647,66.030487,97.548576
06/01/2016,25.147951,24.849518,71.151497,44.023251,122.318253,20.313047,19.61862,11.131932,65.849533,97.933617
07/01/2016,24.10297,24.222546,69.690468,43.494965,118.549255,19.65716,19.540689,10.899816,64.566612,98.01062
08/01/2016,23.56583,24.010603,68.941193,43.160389,117.680206,19.431997,19.608879,10.967517,63.703072,98.087578
11/01/2016,23.702559,24.0371,69.484398,43.565414,117.245674,19.275368,19.316645,10.74507,64.064926,97.771057
12/01/2016,23.966244,23.886974,70.252388,43.803127,118.294228,19.275368,19.433538,10.638684,63.63728,97.993523
13/01/2016,23.253315,23.233509,67.882858,43.001911,113.977303,18.688004,19.482244,10.716056,62.724411,98.292976
14/01/2016,23.116589,23.66621,68.369888,43.204414,115.243095,19.157892,19.472504,10.861129,62.576366,97.805305
15/01/2016,22.921263,22.995083,66.965019,42.526459,113.353836,18.795685,19.45302,10.706385,62.148746,97.659805
19/01/2016,22.69664,22.968586,67.217888,43.037132,112.834328,18.492214,19.550432,10.812772,62.477703,97.22345
20/01/2016,22.442717,22.474068,66.627861,42.50005,112.324226,18.443266,19.277681,10.812772,60.800003,97.368927
21/01/2016,22.716171,22.544716,67.480148,42.667328,113.334969,18.521582,19.491987,10.870801,61.137196,97.086578
22/01/2016,23.360743,23.560244,68.660217,43.398121,114.780235,19.060001,19.608879,10.899816,62.839565,97.146439
25/01/2016,22.716171,23.44544,67.873512,43.010712,112.673744,18.590113,19.579657,10.880472,62.444817,97.043762
26/01/2016,23.399803,24.090084,68.866264,43.406921,115.356438,19.138315,19.608879,11.18029,63.752415,97.317581
27/01/2016,23.057987,23.966452,67.7892,43.3629,114.421272,19.040422,19.579657,11.325362,62.518822,97.052338
28/01/2016,23.087284,23.948792,68.660217,43.803127,113.486099,19.177475,19.511467,11.189961,62.04184,97.163551
29/01/2016,23.76115,24.540447,69.409462,44.692402,116.915054,19.901888,19.472504,11.325362,63.31654,97.668365
01/02/2016,23.556068,24.646414,69.830925,44.842087,117.982483,19.627785,19.560173,11.383392,63.423435,97.356865
